node;ingest_year;num_alarms_per_year;sum_duration_hours;avg_duration_hours;total_tics
GI85W;2024;14;0.16;0.01;0
LX98F;2024;30;4.41;0.15;2
TX50Q;2024;28;8.28;0.3;4
TX11W;2024;6;2.11;0.35;0
GI20R;2024;42;273.77;6.52;2
TX33Q;2024;13;3.93;0.3;0
JX12D;2024;10;0.77;0.08;0
GR38Z;2024;7;21.56;3.08;0
TO01J;2024;32;43.9;1.37;2
SO14P;2024;18;3.37;0.19;0
CS03F;2024;93;15.42;0.17;0
HX22W;2024;20;20.4;1.02;0
HX07I;2024;5;1.83;0.37;0
HX22L;2024;5;2.01;0.4;0
AL81M;2024;11;11.07;1.01;0
BA88J;2024;21;2.9;0.14;0
VA34W;2024;8;2.75;0.34;0
OX67W;2024;44;16.87;0.38;0
ZX08D;2024;11;3.0;0.27;0
HU60E;2024;46;13.36;0.29;0
SA68I;2024;22;2.59;0.12;0
MA32W;2024;4;4.82;1.21;0
AL58K;2024;15;2.76;0.18;0
TO94R;2024;21;40.19;1.91;149
MA79B;2024;9;7.5;0.83;0
VX16M;2024;13;5.83;0.45;0
GC19L;2024;21;4.27;0.2;0
MX95D;2024;9;0.5;0.06;0
LE48I;2024;15;30.7;2.05;0
MA17K;2024;12;7.91;0.66;0
VX53W;2024;22;6.1;0.28;0
TO03T;2024;24;3.03;0.13;0
AX49S;2024;9;7284.4;809.38;1
GR51K;2024;7;5.16;0.74;0
PO31W;2024;24;292.58;12.19;0
AV01R;2024;21;5.54;0.26;1
TF57N;2024;122;74.9;0.61;6
CX79W;2024;25;15.47;0.62;0
HX02K;2024;40;23.05;0.58;0
BX18K;2024;20;761.04;38.05;0
GR18V;2024;12;41.75;3.48;2
CX01L;2024;7;1.07;0.15;0
MX73H;2024;163;5.64;0.03;0
JX29K;2024;11;0.67;0.06;0
TX69Y;2024;38;12.85;0.34;0
GC17V;2024;23;83.98;3.65;3
TX58B;2024;38;19.7;0.52;4
BX82U;2024;11;2.14;0.19;0
LX93F;2024;8;17.56;2.2;0
TX35Z;2024;251;92.88;0.37;5
GI10I;2024;19;67.93;3.58;2
TX19U;2024;10;1.09;0.11;0
SA05I;2024;6;12.99;2.17;0
LX41Z;2024;20;56.91;2.85;68
BX76A;2024;11;21.42;1.95;3
VX05C;2024;9;6.5;0.72;2
HX14I;2024;17;3.08;0.18;0
HX72P;2024;2;0.67;0.34;0
BX31K;2024;7;24.84;3.55;0
CX63W;2024;8;0.87;0.11;0
GU01C;2024;25;43.85;1.75;85
VX79V;2024;4;119.43;29.86;2
LE43R;2024;22;2.5;0.11;0
GU11D;2024;17;5.75;0.34;83
TF23N;2024;14;7.46;0.53;2
SX83W;2024;16;11.74;0.73;0
SG25M;2024;27;13.09;0.48;0
MX21K;2024;20;18.76;0.94;8
OR47W;2024;9;0.67;0.07;0
VA30R;2024;17;11.45;0.67;3
LO04J;2024;30;18.41;0.61;0
BA06W;2024;20;6.83;0.34;0
SE42A;2024;9;11.64;1.29;0
MX91Y;2024;11;14.74;1.34;0
SE53Y;2024;23;77.51;3.37;1
VX75K;2024;29;5.85;0.2;0
AV84W;2024;12;10.55;0.88;1
MU24X;2024;22;77.08;3.5;0
LX05N;2024;7;79.67;11.38;12
HX19H;2024;21;35.18;1.68;6
MA62E;2024;59;13.24;0.22;0
SA28W;2024;10;0.49;0.05;0
AL05O;2024;12;2.42;0.2;0
LX73X;2024;3;4.25;1.42;0
BY68V;2024;3;3.3;1.1;0
LX10H;2024;14;1.54;0.11;0
TX04Z;2024;12;2.86;0.24;0
TX01O;2024;9;10.69;1.19;0
BX80A;2024;3;0.74;0.25;0
TF62Y;2024;21;6.6;0.31;1
BX42Q;2024;16;2.25;0.14;0
NA13B;2024;18;9.9;0.55;0
TE09A;2024;58;11.59;0.2;15
OX12I;2024;9;0.58;0.06;0
BX64I;2024;16;0.76;0.05;0
A1106;2024;25;2.57;0.1;0
TF01O;2024;27;19.68;0.73;0
LE14W;2024;10;0.98;0.1;0
TF22L;2024;9;5.18;0.58;1
TF61C;2024;8;5.44;0.68;1
TF27E;2024;20;111.35;5.57;0
BA51W;2024;18;6.51;0.36;0
SG20W;2024;14;5.09;0.36;0
GC26U;2024;8;0.65;0.08;0
BU19I;2024;37;21.78;0.59;8
TF07H;2024;26;29.86;1.15;0
BA21P;2024;12;7.42;0.62;0
CR48A;2024;18;16.53;0.92;218
CA07A;2024;1;44.84;44.84;0
SX04C;2024;134;5.29;0.04;0
CA46L;2024;7;2.11;0.3;0
SX06W;2024;12;13.99;1.17;0
GC16R;2024;20;2.18;0.11;0
MX87A;2024;6;9.61;1.6;0
VX59A;2024;15;3.66;0.24;0
GC24T;2024;19;6.56;0.35;0
GC27T;2024;5;0.41;0.08;0
LX41D;2024;1;0.0;0.0;0
GI14W;2024;24;4.65;0.19;0
GI04O;2024;41;9.37;0.23;0
BY41V;2024;3;3.06;1.02;0
LX11X;2024;6;2.77;0.46;0
TX60W;2024;13;60.1;4.62;0
BA93W;2024;6;0.91;0.15;0
GC42N;2024;16;12.05;0.75;0
CA61L;2024;56;41.32;0.74;0
MA53W;2024;36;11.14;0.31;0
LX40D;2024;8;0.2;0.03;0
SE92Q;2024;2;13.34;6.67;0
BU80R;2024;19;16.06;0.85;1
BU03W;2024;29;203.71;7.02;3
AX46S;2024;6;1.08;0.18;0
BX39R;2024;209;39.07;0.19;4
ZX03V;2024;14;6.76;0.48;0
TF06E;2024;37;5.09;0.14;1
CO60D;2024;13;0.83;0.06;0
TF02R;2024;10;22.59;2.26;0
VA90G;2024;15;4.23;0.28;0
SG39M;2024;3;37.5;12.5;1
CO58D;2024;12;1.24;0.1;0
AX23X;2024;12;1.39;0.12;0
PM70Y;2024;14;79.57;5.68;1
CW66D;2024;1;0.0;0.0;0
CX77W;2024;4;1062.08;265.52;0
SE20R;2024;6;5.99;1.0;0
BA39W;2024;10;4.54;0.45;0
SS10D;2024;6;10.62;1.77;13
GC03R;2024;11;7.25;0.66;5
GC17N;2024;21;4.06;0.19;0
GC62F;2024;12;1.24;0.1;0
SA33W;2024;25;5.25;0.21;0
ZX74S;2024;10;8.04;0.8;0
OX43W;2024;151;38.46;0.25;0
ZA20W;2024;18;61.0;3.39;0
GC23N;2024;35;34.03;0.97;2
LX67X;2024;7;29.58;4.23;0
TX99J;2024;9;2.83;0.31;0
LX48S;2024;35;5.59;0.16;2
BX24Z;2024;15;6.16;0.41;1
BX39C;2024;22;5.65;0.26;41
LX63M;2024;6;0.51;0.09;0
HX86W;2024;54;18.01;0.33;0
BX54A;2024;6;6.5;1.08;2
MA56W;2024;11;7.82;0.71;0
SO37M;2024;28;8.98;0.32;3
GC15S;2024;18;11.43;0.64;0
BSC211;2024;3;1.32;0.44;0
BA18Y;2024;28;6.41;0.23;0
NA32A;2024;7;0.33;0.05;0
CC94W;2024;16;3.93;0.25;0
AL85J;2024;25;4.56;0.18;0
TF14V;2024;21;3.03;0.14;0
AL26W;2024;14;65.39;4.67;0
MX53K;2024;40;2.99;0.07;0
BX94G;2024;3;0.32;0.11;0
CC93T;2024;14;2.92;0.21;0
AV32W;2024;31;69.46;2.24;4
CX33I;2024;34;31.22;0.92;0
MX61G;2024;10;1.63;0.16;0
AX14Z;2024;1;0.25;0.25;0
PO32I;2024;4;0.5;0.13;0
VX32B;2024;8;6.04;0.76;0
TO74Q;2024;51;490.97;9.63;148
GI53H;2024;35;4.03;0.12;155
TF04E;2024;71;12.85;0.18;1
BX11C;2024;46;16.93;0.37;0
CX06S;2024;3;10.3;3.43;6
GR81W;2024;36;72.38;2.01;3
GC01T;2024;18;12.9;0.72;2
MA21N;2024;2;0.0;0.0;0
GI08P;2024;15;4.57;0.3;0
AL13W;2024;17;8.91;0.52;0
GC10N;2024;12;0.58;0.05;0
TO07Q;2024;45;80.74;1.79;0
GI12B;2024;22;10.67;0.49;0
BY83V;2024;18;2.97;0.16;0
TX57Z;2024;10;5.12;0.51;0
TX30W;2024;4;1.74;0.44;0
TX76W;2024;11;13.62;1.24;0
GI31V;2024;27;16.51;0.61;0
LX54S;2024;26;4.76;0.18;0
SE27C;2024;61;31.45;0.52;0
BX04I;2024;14;14.98;1.07;2
SE15C;2024;2;0.58;0.29;0
HX74W;2024;103;31.12;0.3;0
AV15U;2024;25;121.26;4.85;15
SE32E;2024;2;3.35;1.68;0
GU67A;2024;11;1.81;0.16;0
MA21K;2024;10;15.65;1.57;1
VA34I;2024;13;4.34;0.33;1
HX72J;2024;1;0.5;0.5;0
BX73Q;2024;20;184.02;9.2;7
TE35T;2024;7;1.95;0.28;0
CC14W;2024;7;1.91;0.27;0
ZX36A;2024;82;46.88;0.57;0
LU51I;2024;78;117.98;1.51;8
BX30Q;2024;28;12.66;0.45;0
TF45C;2024;15;52.59;3.51;11
TF24M;2024;13;5.15;0.4;1
GC13I;2024;33;5.01;0.15;0
GC26L;2024;16;8.85;0.55;0
CS12A;2024;20;20.18;1.01;6
CR17C;2024;15;1.41;0.09;0
SX22W;2024;5;9.12;1.82;0
AV17W;2024;26;11.72;0.45;4
BX94K;2024;56;58.41;1.04;0
GC83L;2024;11;0.57;0.05;0
MU67J;2024;26;9.68;0.37;0
LE62W;2024;33;54.75;1.66;0
LX62M;2024;9;112.01;12.45;1
SA57I;2024;12;45.24;3.77;0
MU72Y;2024;7;1.42;0.2;0
MU30T;2024;9;33.76;3.75;0
GI74Z;2024;18;14.85;0.83;6
GI09A;2024;20;43.6;2.18;0
GI62Z;2024;12;3.01;0.25;0
GI04J;2024;12;2.19;0.18;0
BY62V;2024;7;4.15;0.59;0
TX93R;2024;8;3.17;0.4;0
MU59H;2024;9;6.57;0.73;0
SE49A;2024;147;18.59;0.13;0
TF54C;2024;11;7.23;0.66;2
MA73W;2024;23;6.35;0.28;0
MA59W;2024;17;16.75;0.99;2
MX41Q;2024;17;17.32;1.02;1
PM90C;2024;11;3.49;0.32;0
C5774F2;2024;1;0.08;0.08;0
TO28A;2024;42;3.52;0.08;0
AL13E;2024;29;61.49;2.12;1
GC48L;2024;16;15.18;0.95;1
VA40N;2024;22;1.88;0.09;1
TF34P;2024;39;13.14;0.34;0
AL73M;2024;11;3.23;0.29;0
TF38F;2024;18;20.24;1.12;25
MA39D;2024;2;0.0;0.0;0
SE95W;2024;5;2.75;0.55;0
OX54M;2024;3;0.33;0.11;0
MX42I;2024;8;31.51;3.94;0
AL80M;2024;38;7.21;0.19;0
CX20W;2024;19;179.96;9.47;0
MX48F;2024;7;11.69;1.67;0
AB44A;2024;7;17.75;2.54;2
BA96J;2024;55;152.0;2.76;3
LX05F;2024;150;70.91;0.47;17
BX04G;2024;12;14.78;1.23;0
GC05Q;2024;25;7.71;0.31;0
GC31Q;2024;17;7.72;0.45;0
GR47W;2024;38;7.05;0.19;0
GR21W;2024;3;1.66;0.55;0
CX73M;2024;26;3.57;0.14;0
GC42H;2024;13;1.05;0.08;0
BA29P;2024;13;5.76;0.44;0
AX11E;2024;11;1.14;0.1;0
VX15P;2024;13;7.73;0.59;0
LX31Z;2024;4;10.76;2.69;0
GI81J;2024;13;0.82;0.06;0
TX20T;2024;13;14.16;1.09;1
LX07F;2024;18;11.41;0.63;0
VX07X;2024;53;135.72;2.56;0
CS71C;2024;24;3.15;0.13;0
BX76U;2024;17;5.0;0.29;0
MX67R;2024;19;3.47;0.18;8
SG61W;2024;16;8.16;0.51;1
SX04W;2024;2;0.65;0.32;0
HX45S;2024;10;30.08;3.01;0
CX02Q;2024;6;5.55;0.92;0
AX14S;2024;16;2.18;0.14;0
MX23F;2024;10;17.43;1.74;0
TF17F;2024;16;9.94;0.62;1
AL43Y;2024;13;5.2;0.4;0
TF44L;2024;28;26.83;0.96;7
CR24A;2024;65;35.91;0.55;50
AL71W;2024;7;2.33;0.33;0
SE74W;2024;19;2.33;0.12;0
GR36G;2024;2;1.0;0.5;0
CC22Y;2024;20;183.74;9.19;0
GC87M;2024;9;1.32;0.15;0
MX24U;2024;15;2.03;0.14;0
AL01W;2024;28;4.84;0.17;0
JX28W;2024;33;13.72;0.42;0
TO87R;2024;395;346.04;0.88;42
AX52I;2024;36;117.72;3.27;3
MA18Z;2024;56;40.82;0.73;2
TX76K;2024;23;18.59;0.81;21
VA31W;2024;28;5.66;0.2;0
CA04W;2024;51;193.77;3.8;0
OR10W;2024;21;39.47;1.88;0
HX29W;2024;34;26.68;0.78;0
VA63G;2024;17;1.53;0.09;0
SE80B;2024;22;9.76;0.44;0
LX94X;2024;6;0.16;0.03;0
TX11E;2024;42;33.11;0.79;0
BA30P;2024;11;19.74;1.79;8
CA52W;2024;22;33.18;1.51;0
SE44W;2024;7;1.32;0.19;0
HX66W;2024;14;10.44;0.75;0
SE77B;2024;8;0.5;0.06;0
CU29B;2024;28;19.61;0.7;0
MA66I;2024;8;1.76;0.22;0
GI13T;2024;6;59.99;10.0;166
GI11N;2024;6;2.58;0.43;0
VA78M;2024;12;2.71;0.23;0
SE14Y;2024;15;2.78;0.19;0
ZX02V;2024;14;6.76;0.48;0
TF09S;2024;17;4.97;0.29;1
TF35C;2024;9;5.02;0.56;1
MU73J;2024;28;12.4;0.44;0
CS30L;2024;18;79.56;4.42;0
MA41W;2024;21;12.16;0.58;0
CC15J;2024;21;7.7;0.37;0
CC87Y;2024;4;1.09;0.27;0
CO18A;2024;2;3.5;1.75;4
AL64M;2024;80;50.65;0.63;18
BA49Y;2024;9;1.91;0.21;0
TF21M;2024;32;127.4;3.98;2
CU51F;2024;6;2.94;0.49;0
SE89W;2024;61;31.52;0.52;4
BX23Z;2024;1;0.33;0.33;0
CC03R;2024;67;26.63;0.4;0
ZX22N;2024;14;10.51;0.75;0
GC16N;2024;16;0.33;0.02;0
BX21I;2024;187;59.89;0.32;4
PO69W;2024;32;9.19;0.29;0
MA24J;2024;8;0.16;0.02;0
GR11Y;2024;50;26.15;0.52;0
TO33A;2024;29;73.32;2.53;58
GI82N;2024;22;4.91;0.22;0
MX63G;2024;35;10.8;0.31;4
PM22X;2024;16;4.09;0.26;0
CS11A;2024;4;1.5;0.38;0
TX16X;2024;5;2.11;0.42;0
TX95Q;2024;18;15.59;0.87;1
LX80V;2024;13;6.08;0.47;0
BX34C;2024;11;11.26;1.02;7
BX13B;2024;1;0.0;0.0;0
LX98B;2024;8;2.41;0.3;5
TE12C;2024;19;16.42;0.86;0
HX48A;2024;6;1.33;0.22;0
TX37H;2024;58;93.34;1.61;73
CU76R;2024;8;0.08;0.01;0
GC33Y;2024;111;11.59;0.1;0
MX35T;2024;88;97.25;1.11;5
CO23D;2024;5;0.16;0.03;0
CA31J;2024;5;0.66;0.13;0
MX78U;2024;9;13.87;1.54;0
TF71D;2024;12;9.68;0.81;2
TF66M;2024;17;12.99;0.76;12
MA09W;2024;13;6.91;0.53;0
AX95T;2024;111;105.64;0.95;0
AV94W;2024;18;4.33;0.24;0
BU26S;2024;6;32.48;5.41;1
NA76B;2024;15;63.0;4.2;0
GR35K;2024;22;8.33;0.38;0
CX50I;2024;7;36.58;5.23;0
MX06R;2024;18;144.25;8.01;14
SE67L;2024;5;0.74;0.15;0
MU39R;2024;10;2.93;0.29;0
VA16G;2024;28;6.18;0.22;0
BX15G;2024;106;111.67;1.05;26
JX15K;2024;17;22.22;1.31;0
MX28Y;2024;109;94.45;0.87;23
CX46E;2024;58;15.62;0.27;0
BA54W;2024;18;7.17;0.4;0
SE62L;2024;9;2.32;0.26;0
PM80M;2024;386;34.13;0.09;0
BU28G;2024;20;3.06;0.15;0
MA28M;2024;6;9.76;1.63;0
PM27X;2024;10;10.81;1.08;0
CO99J;2024;11;7.47;0.68;0
LE42I;2024;25;1.74;0.07;0
CC35Y;2024;23;6.41;0.28;0
AV95W;2024;22;1.32;0.06;0
HU07R;2024;105;196.91;1.88;0
GC11A;2024;23;1.23;0.05;0
MU76Y;2024;20;4.19;0.21;0
MU33J;2024;22;145.57;6.62;0
AX25O;2024;8;1.06;0.13;0
GI30T;2024;22;0.25;0.01;0
LX04Z;2024;11;5.0;0.45;1
TX06H;2024;10;2.27;0.23;0
TX24W;2024;4;0.29;0.07;0
GI78S;2024;75;10.91;0.15;0
GI13W;2024;11;8.86;0.81;134
TX08Y;2024;2;0.29;0.15;0
GI81N;2024;11;116.21;10.56;0
GI12P;2024;23;5.13;0.22;0
ZX45R;2024;71;47.44;0.67;0
TO62R;2024;11;3.41;0.31;2
SO09P;2024;9;3.69;0.41;0
GC49N;2024;20;1.66;0.08;0
BA04B;2024;14;16.32;1.17;311
HX76H;2024;3;1.58;0.53;0
BA77W;2024;38;25.05;0.66;0
AX81R;2024;18;1.92;0.11;0
PO44L;2024;40;109.28;2.73;0
JX65K;2024;21;32.45;1.55;0
MX50B;2024;6;2.63;0.44;0
TF20P;2024;18;5.51;0.31;1
AX56Y;2024;4;0.93;0.23;0
AX97T;2024;4;0.51;0.13;0
SG02U;2024;17;3.0;0.18;0
CX58W;2024;31;31.31;1.01;0
CX71M;2024;20;4.89;0.24;0
TO45B;2024;28;41.17;1.47;317
BA96W;2024;6;13.41;2.24;0
GC29V;2024;12;1.4;0.12;0
OR93P;2024;152;35.24;0.23;0
GR28W;2024;30;7.02;0.23;0
TO21B;2024;1;0.0;0.0;0
SE15Y;2024;19;1.57;0.08;0
AL25K;2024;85;42.36;0.5;0
GC07S;2024;11;7.9;0.72;0
GC20C;2024;45;15.36;0.34;2
LU79L;2024;8;16.35;2.04;0
LU08L;2024;8;3.66;0.46;0
PM33Z;2024;8;5.51;0.69;0
MA71E;2024;42;6.57;0.16;0
AL65O;2024;153;51.46;0.34;0
LX60Z;2024;3;18.91;6.3;0
LX61X;2024;7;14.99;2.14;1
LX24Y;2024;6;50.2;8.37;0
GI96D;2024;28;3.05;0.11;0
GI51R;2024;14;1.03;0.07;0
BX74D;2024;8;1.28;0.16;0
BX64L;2024;11;197.08;17.92;0
BX05B;2024;49;68.09;1.39;3
BI01D;2024;20;4.0;0.2;1
TO01N;2024;727;52.63;0.07;55
NA21A;2024;4;0.41;0.1;0
HX31W;2024;6;1.99;0.33;0
HX79W;2024;22;3.01;0.14;0
HX77W;2024;13;64.13;4.93;0
MX40V;2024;16;4.31;0.27;0
LU17W;2024;29;4.35;0.15;0
NA37G;2024;21;16.6;0.79;3
VX36A;2024;16;4.57;0.29;0
BX57V;2024;2;0.0;0.0;0
TF19D;2024;6;0.17;0.03;0
TF10M;2024;14;5.63;0.4;1
TF43Q;2024;22;5.52;0.25;1
TF45R;2024;10;6.33;0.63;1
LU65L;2024;8;0.83;0.1;0
CR54V;2024;35;1.57;0.04;0
BX41V;2024;6;0.83;0.14;0
TF47F;2024;36;66.75;1.85;724
VA64W;2024;159;136.96;0.86;62
VX24P;2024;1;169.67;169.67;0
MX38M;2024;2;1628.74;814.37;45
MX45S;2024;37;85.04;2.3;1
JX74W;2024;32;3.0;0.09;0
CU07B;2024;58;10.46;0.18;0
VX51V;2024;24;54.15;2.26;2
BX05D;2024;2;10.59;5.3;0
GC04N;2024;14;5.85;0.42;0
GC27R;2024;16;5.89;0.37;11
AX68R;2024;53;14.63;0.28;0
VA64G;2024;10;4.0;0.4;0
CO34O;2024;4;0.33;0.08;0
CA13C;2024;5;0.83;0.17;0
GU03T;2024;35;40.08;1.15;4
CR23V;2024;209;759.07;3.63;45
GI02A;2024;40;28.33;0.71;13
GI45Z;2024;9;10.43;1.16;0
GI36W;2024;8;9.26;1.16;1
GI91D;2024;15;11.11;0.74;1
GI57H;2024;37;51.06;1.38;38
GI75W;2024;20;426.47;21.32;23
TX96X;2024;12;10.15;0.85;2
TX13X;2024;11;0.47;0.04;0
SS12E;2024;854;144.99;0.17;16
JX26D;2024;14;5.81;0.42;0
AV52M;2024;24;9.57;0.4;0
SO11W;2024;59;34.56;0.59;3
SS13F;2024;3;5.92;1.97;0
CO35D;2024;49;3.51;0.07;0
AL16W;2024;35;7.48;0.21;0
BU43F;2024;131;58.53;0.45;0
SG06S;2024;27;3.28;0.12;0
VA18I;2024;11;1.92;0.17;0
VX73D;2024;9;4.16;0.46;0
TF14Y;2024;29;4.84;0.17;0
TF44E;2024;47;24.45;0.52;50
OR66W;2024;22;15.97;0.73;0
AL21K;2024;80;28.59;0.36;0
TF10R;2024;4;0.09;0.02;0
SG95M;2024;16;1.2;0.08;0
MA85I;2024;20;11.75;0.59;0
MX87E;2024;6;0.25;0.04;0
VA86M;2024;14;5.2;0.37;0
MX06X;2024;5;1.96;0.39;0
BI40T;2024;7;0.41;0.06;0
LU75W;2024;28;33.92;1.21;2
MX08F;2024;5;3052.99;610.6;298
OX06K;2024;61;216.27;3.55;10
CO46R;2024;61;10.05;0.16;0
CO67D;2024;31;12.01;0.39;0
MA37W;2024;18;258.2;14.34;0
GU09F;2024;88;317.54;3.61;29
CO85D;2024;11;26.5;2.41;0
SE09A;2024;41;5.92;0.14;0
GR70W;2024;17;10.24;0.6;0
GI81Y;2024;28;0.35;0.01;0
GC11L;2024;37;169.61;4.58;3
GI01V;2024;29;3.23;0.11;155
OX64W;2024;14;10.31;0.74;7
BX74J;2024;5;2.89;0.58;0
TX90X;2024;8;5.19;0.65;2
GI22Z;2024;8;1.99;0.25;0
AL62O;2024;37;28.32;0.77;0
LX66S;2024;7;3.0;0.43;2
SO04Q;2024;15;0.42;0.03;0
SO07P;2024;14;3.2;0.23;0
HX71W;2024;3;1.09;0.36;0
GR50Z;2024;9;1.91;0.21;0
BA23J;2024;28;9.23;0.33;0
AX22E;2024;5;0.85;0.17;0
TF07M;2024;17;3.84;0.23;0
TF82R;2024;7;4.01;0.57;0
GC11M;2024;21;166.45;7.93;3
